,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
1065,"19 Bowery 2nd Floor Suite 8, New York, NY 10002, USA",40.7145884,-73.9967118,ROOFTOP,EjQxOSBCb3dlcnkgMm5kIEZsb29yIFN1aXRlIDgsIE5ldyBZb3JrLCBOWSAxMDAwMiwgVVNBIi0aKwoWChQKEgmVOARPJlrCiRFhYf9VQqsrqBIRMm5kIEZsb29yIFN1aXRlIDg,subpremise,10002,"19 Bowery, 2nd Floor Suite 8, Manhattan, NY",1,OK
1066,"863 50th St # M3, Brooklyn, NY 11220, USA",40.6403508,-74.002084,ROOFTOP,ChIJ1Z8BQMtawokRuRilldoqxHY,subpremise,11220,"863 50th Street, M3, Brooklyn, NY",1,OK
1067,"128 Mott St STE 206, New York, NY 10013, USA",40.71847890000001,-73.9964735,ROOFTOP,ChIJhUuTPohZwokRD2D-K-2qTHU,subpremise,10013,"128 Mott Street, Suite 206, Manhattan, NY",1,OK
1068,"86 Bowery 4th Floor, New York, NY 10013, USA",40.7171732,-73.9957944,ROOFTOP,Eiw4NiBCb3dlcnkgNHRoIEZsb29yLCBOZXcgWW9yaywgTlkgMTAwMTMsIFVTQSIlGiMKFgoUChIJN7mc9idawokRqeH5Hox7EgsSCTR0aCBGbG9vcg,subpremise,10013,"86 Bowery, 4th Floor, Manhattan, NY",1,OK
1069,"730 58th St #1a, Brooklyn, NY 11220, USA",40.6372843,-74.00997819999999,ROOFTOP,Eig3MzAgNTh0aCBTdCAjMWEsIEJyb29rbHluLCBOWSAxMTIyMCwgVVNBIh4aHAoWChQKEgm56_OuS0XCiRFbgLcPOAuWkBICMWE,subpremise,11220,"730 58th Street, 1A, Brooklyn, NY",1,OK
1070,"6309 New Utrecht Ave, Brooklyn, NY 11219, USA",40.6248414,-73.9971675,ROOFTOP,ChIJ2bTPcjtFwokRWBXGmuIFleI,premise,11219,"6309 New Utrecht Ave, Brooklyn, NY",1,OK
1071,"42-35 Main St #3k, Queens, NY 11355, USA",40.7546535,-73.82755829999999,ROOFTOP,Eig0Mi0zNSBNYWluIFN0ICMzaywgUXVlZW5zLCBOWSAxMTM1NSwgVVNBIh4aHAoWChQKEglZgQ3OZWHCiRHoa6tPRa8JBBICM2s,subpremise,11355,"42-35 Main Street, 3K, Queens, NY",1,OK
1072,"1508 Avenue U, Brooklyn, NY 11229, USA",40.5986818,-73.9560271,ROOFTOP,ChIJYxv0ZIxEwokRIkG_66tMN4w,premise,11229,"1508 Avenue U, Brooklyn, NY",1,OK
1073,"833 58th St, Brooklyn, NY 11220, USA",40.6362285,-74.00733600000001,ROOFTOP,ChIJtWY9bUpFwokRCDopuDDYeeQ,premise,11220,"833 58th Street, Brooklyn, NY",1,OK
1074,"139 Centre St STE 709, New York, NY 10013, USA",40.7175205,-74.00081449999999,ROOFTOP,ChIJ4Y93rSBawokRrJlayerqm0Q,subpremise,10013,"139 Centre Street, Suite 709, Manhattan, NY",1,OK
1075,"42-35 Main St #3n, Queens, NY 11355, USA",40.7546535,-73.82755829999999,ROOFTOP,Eig0Mi0zNSBNYWluIFN0ICMzbiwgUXVlZW5zLCBOWSAxMTM1NSwgVVNBIh4aHAoWChQKEglZgQ3OZWHCiRHoa6tPRa8JBBICM24,subpremise,11355,"42-35 Main Street, 3N, Queens, NY",1,OK
1076,"8686 Bay Pkwy STE M1, Brooklyn, NY 11214, USA",40.6001582,-73.99609699999999,ROOFTOP,ChIJ_VA6aghFwokRbHhdx-gQYA0,subpremise,11214,"8686 Bay Pkwy, Suite M1, Brooklyn, NY",1,OK
1077,"38-08 Union St #3l, Flushing, NY 11354, USA",40.7611905,-73.82775649999999,ROOFTOP,EiszOC0wOCBVbmlvbiBTdCAjM2wsIEZsdXNoaW5nLCBOWSAxMTM1NCwgVVNBIh4aHAoWChQKEgmF-6hdEGDCiRGHFBBj8tCMkhICM2w,subpremise,11354,"38-08 Union St, 3L, Queens, NY",1,OK
1078,"839 58th St 5th Floor, Brooklyn, NY 11220, USA",40.6361459,-74.00720460000001,ROOFTOP,Ei44MzkgNTh0aCBTdCA1dGggRmxvb3IsIEJyb29rbHluLCBOWSAxMTIyMCwgVVNBIiUaIwoWChQKEgkhq6pySkXCiRHwyokvA_MEwRIJNXRoIEZsb29y,subpremise,11220,"839 58th Street, 5th Floor, Brooklyn, NY",1,OK
1079,"42-11 Kissena Blvd #1c, Flushing, NY 11355, USA",40.75683,-73.8261478,ROOFTOP,Ei80Mi0xMSBLaXNzZW5hIEJsdmQgIzFjLCBGbHVzaGluZywgTlkgMTEzNTUsIFVTQSIeGhwKFgoUChIJKfIJ2xNgwokRNPE9D7FT44gSAjFj,subpremise,11355,"4211 Kissena Blvd, Apt 1C, Queens, NY",1,OK
1080,"136-18 39th Ave 5th floor, Flushing, NY 11354, USA",40.7602109,-73.8294426,ROOFTOP,ChIJi4mG0hFgwokR3T04UUVFI-w,subpremise,11354,"136-36 39th Avenue, 5th Floor, Queens, NY",1,OK
1081,"133-47 Sanford Ave #1f, Flushing, NY 11355, USA",40.756661,-73.8295117,RANGE_INTERPOLATED,Ei8xMzMtNDcgU2FuZm9yZCBBdmUgIzFmLCBGbHVzaGluZywgTlkgMTEzNTUsIFVTQSIiGiAKGhIYChQKEgk57NRwEmDCiRF4LJwE4FhVvxAvEgIxZg,subpremise,11355,"133-47 Sanford Ave, Suite 1F, Queens, NY",1,OK
1082,"355 Bard Ave, Staten Island, NY 10310, USA",40.6356701,-74.10582699999999,ROOFTOP,ChIJMzhCghROwokRcO4pq9XE4Js,premise,10310,"355 Bard Ave, Staten Island, NY",1,OK
